bill_id,bill_number,sponsor_name,chamber_type,sponsor_party,sponsor_state,sponsor_constituency,is_primary
9cf7b43f-e661-4aa5-8461-6e538347cdb1,HB 250,Hon Jafaru Gambe Leko,House,APC,Bauchi,Bogoro/Dass/Tafawa Balewa,No
9cf7b43f-e661-4aa5-8461-6e538347cdb1,HB 250,Nwaeke Felix Uche,House,PDP,Rivers,Eleme/Tai/Oyigbo,No
9cf7b43f-e661-4aa5-8461-6e538347cdb1,HB 250,Hon Oluwole Oke,House,PDP,Osun,Obokun/Oriade,No
e4a5a7ae-0af7-4dc4-a8a8-4a405871e897,HB 847,Hon Awaji-inombek Dagomie Abiante,House,PDP,Rivers,Opobo/Nkoro/Andoni,Yes
a8df69a4-04ec-4586-9c10-612fd0a30799,SB 704,"Sen. Banigo, Ipalibo Harry",Senate,PDP,Rivers,,Yes
3a3513ee-7908-42a7-8265-8b15cc62eace,SB 834,Sen. Jibrin Isah,Senate,APC,Kogi,,Yes
e12aca91-7371-401f-9f20-32ea78da2b2b,SB 713,"Sen. Banigo, Ipalibo Harry",Senate,PDP,Rivers,,Yes
c854a41c-cd2b-42a1-8cf7-965fd0ef2700,SB 64,Sen. Barau Jibrin,Senate,APC,Kano,,Yes
36ba6132-b06c-469c-93ce-a17312d81c34,SB 188,Sen. Umar Shehu Buba,Senate,APC,Bauchi,,Yes
6a849935-efbe-4d35-8275-0235383d2ff4,SB 876,"Sen. Banigo, Ipalibo Harry",Senate,PDP,Rivers,,Yes
aa743778-d20e-4eb1-8aac-de5321f8a5ce,HB 130,Hon Benjamin Kalu,House,APC,Abia,Bende,Yes
cae8ad3f-8a21-47b8-90d1-20c5167a4952,HB 710,Hon Satomi Alhaji Ahmad,House,APC,Borno,Jere,Yes
1adb46b9-eca1-4468-a1bc-76505549a77b,HB 919,Hon Abubakar Hassan Nalaraba,House,APC,Nasarawa,Awe/Doma/Keana,Yes
72b138f4-a662-4776-ab20-0e803adc43df,HB 662,Hon Alex Egbona,House,PDP,Cross River,Yakurr/Abi,Yes
4460182a-d63d-4bb3-be69-abc84343df85,SB 82,"Sen. Asuquo, Ekpenyong",Senate,APC,Cross River,,Yes
ac5eb50d-82c1-404b-b99a-eaf0f423d0ea,HB 2050,Jubrin Abdulmumin,House,APC,Kano,Bebeji/Kiru,Yes
55cab4b5-1c3a-4241-b554-b8920a4ec515,HB 347,Hon Chinedu Ogah,House,APC,Ebonyi,Ezza South/Ikwo,Yes
a5ff1208-3cc5-40fa-89e6-5bb7284231aa,SB 365,Onyekachi Nwaebonyi,Senate,APC,Ebonyi,,Yes
5f5ead0e-b990-48e3-b801-a5717d75617d,SB 279,Onyekachi Nwaebonyi,Senate,APC,Ebonyi,,Yes
fba8cabd-dfc8-485f-bcd0-3efad6c3308e,HB 731,Hon Miriam Onuoha,House,APC,Imo,Isiala Mbano/Okigwe/Onuimo,Yes
b763b08d-c9e2-440d-a373-b3064a9e38b8,HB 1146,Hon Mansur Manu Soro,House,APC,Bauchi,Darazo/Gunjuwa,Yes
9e25957b-1cb0-4e64-9da1-9202194b819f,HB 67,Hon Oluwole Oke,House,PDP,Osun,Obokun/Oriade,Yes
f3594ef2-f467-45df-8473-74b9d3734f16,HB 99,Hon Julius Ihonvbere,House,APC,Edo,Owan East/Owan West,Yes
6144f170-6f77-44d7-abfb-9ef9a26cb31d,SB 06,Sen. Michael Opeyemi Bamidele,Senate,APC,Ekiti,,Yes
902e6ab1-746e-40bb-b365-8166f6ec390c,HB 2704,Executive,House,APC,N/A,.,Yes
e3644342-0374-4eeb-ba6e-a4f7e07c7382,HB 2706,Executive,House,APC,N/A,.,Yes
be6381c2-c254-4739-a3a5-30f3aabad15e,HB 2716,Hon Tajudeen Abbas,House,APC,Kaduna,Zaria,Yes
79fa0e78-f086-4703-acf9-83955a44f8e3,HB 2178,Hon Gagdi Adamu Yusuf,House,APC,Plateau,Kanke/Pankshin/Kanam,Yes
960861a1-91f0-4d48-b2a7-5f9a0b82fdd6,SB 05,Sen. Barau Jibrin,Senate,APC,Kano,,Yes
1ac310f2-9ff9-4cc5-aff7-96d3e58a18a6,HB 1114,Hon Francis Ejiroghene Waive,House,APC,Delta,"Ughelli North, Ughelli South/Udu",Yes
924868b2-d41a-4093-95c9-199086d1cec4,SB 971,Sen. Mohammed Sani Musa,Senate,APC,Niger,,Yes
2f1daa50-2285-4129-b9ad-bb2313015e13,SB 972,"Sen. Banigo, Ipalibo Harry",Senate,PDP,Rivers,,Yes
c052c47a-0294-4052-a470-263d1a07bd2b,HB 2198,Esosa Iyawe,House,LP,Edo,Oredo,Yes
b126e9e7-af33-4f17-ab3e-15a515706f0a,HB 1435,Esosa Iyawe,House,LP,Edo,Oredo,Yes
3438892a-d87d-471d-823b-db7fd9c72368,HB 1739,Chris Nkwonta,House,PDP,Abia,Ukwa East/Ukwa West,Yes
8e92a97c-b932-4b8e-94e4-53880bee8e11,HB 981,Hon Bukar Talba,House,APC,Borno,Monguno/Nganzai/Marte,Yes
ef7c978d-262b-4051-9e6e-de949f9cc8c4,HB 922,Hon Kingsley Chinda,House,PDP,Rivers,Obio/Akpor,Yes
b71c5798-c5c2-48a2-b4e7-9763e9e8bac4,HB 635,Hon Akintunde Rotimi,House,APC,Ekiti,Ikole/Oye,Yes
2f05af8f-00e0-4fed-a8d9-72e262f3e64a,SB 95,Sen. Izunaso Osita Bonaventure,Senate,APC,Imo,,Yes
6da935df-fef8-4993-adad-b60212ab1599,HB 2673,Hon Blessing Onyeche Onuh,House,APGA,Benue,Otukpo/Ohimini,Yes
f12a4224-7b11-4c7c-9161-7b9dce0f6abf,HB 577,Hon. Akingbaso Festus Olanrewaju,House,APC,Ondo,Idanre/Ifedore,Yes
368040be-548f-4eb9-97e6-19c8c96373e4,HB 1326,Hon Anthony Adebayo Adepoju,House,PDP,Oyo,Ibarapa Central/Ibarapa North,Yes
2103cab7-3dfe-4d6a-977c-495b4eeb2f23,SB 10,Sen. Sunday Steve Karimi,Senate,APC,Kogi,,Yes
424a4ea6-7653-488a-ab63-99587c7b3cd8,SB 272,Sen. Babangida Hussaini,Senate,APC,Jigawa,,Yes
061d3d91-1f7f-4c0a-ab42-78d6fdfea9bd,HB 2731,Murphy Osaro Omoruyi,House,LP,Edo,Egor/Ikpoba-Okha,Yes
